name,slug,rating,website_url,image_url,categories,badges,featured,pricing_plans,status
"Joyland.AI","joyland-ai",4.1,"https://joyland.ai","/images/logos/joyland-ai.png",roleplaying,,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""2 AI characters"",""100 messages per day"",""Basic character customization"",""Standard memory"",""Community access""]},{""name"":""Standard Plan"",""price"":9.99,""period"":""monthly"",""features"":[""Unlimited AI characters"",""Unlimited messages"",""Advanced character creation"",""Enhanced memory system"",""Image generation credits"",""Priority support"",""Export conversation history""]},{""name"":""Pro Plan"",""price"":19.99,""period"":""monthly"",""features"":[""Everything in Standard"",""Advanced AI models"",""Unlimited image generation"",""Custom voice options"",""Advanced roleplay tools"",""Beta feature access"",""Creator monetization tools""]}]","active"
"Kajiwoto AI","kajiwoto-ai",3.4,"https://kajiwoto.ai","/images/logos/kajiwoto-ai.png",learning,,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""Create unlimited Kajis"",""Custom training data upload"",""Private and public chat rooms"",""Group conversations"",""Basic personality customization"",""Community access"",""Standard response times""]},{""name"":""Premium Features"",""price"":8.99,""period"":""monthly"",""features"":[""All free features included"",""Advanced AI models"",""Priority response times"",""Enhanced memory capacity"",""Advanced training options"",""Premium support"",""Beta feature access"",""Export conversation data""]},{""name"":""Developer Plan"",""price"":19.99,""period"":""monthly"",""features"":[""Everything in Premium"",""API access"",""Advanced analytics"",""Bulk training tools"",""Custom model fine-tuning"",""Developer support"",""Commercial usage rights"",""Integration capabilities""]}]","active"
"Kupid AI","kupid-ai",4.2,"https://t.mbsrv2.com/388589/6924?popUnder=true&source=companionguide&aff_sub5=SF_006OG000004lmDN","/images/logos/kupid-ai-2.png",ai-girlfriend;image-gen,,false,"[{""name"":""Free Plan"",""price"":0,""period"":""free"",""features"":[""Limited daily interactions"",""Basic character customization"",""Standard chat features"",""Community access"",""Character browsing""]},{""name"":""Premium Plan"",""price"":13.99,""period"":""monthly"",""features"":[""Unlimited conversations"",""Voice message capabilities"",""Advanced image generation"",""Full character customization"",""NSFW content access"",""Chat memory features"",""Priority support""]},{""name"":""Ultimate Plan"",""price"":49,""period"":""monthly"",""features"":[""Everything in Premium Plan"",""Maximum coin allocation"",""Unlimited image generation"",""Multiple AI girlfriends"",""Exclusive character options"",""Priority image processing"",""VIP customer support"",""Early access to new features""]}]","active"
"Lovescape","lovescape",4.2,"https://t.mbsrv2.com/388589/7887?popUnder=true&source=companionguide&aff_sub5=SF_006OG000004lmDN","/images/logos/lovescape.png",ai-girlfriend,,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""Limited daily messages"",""Basic character customization"",""Standard conversation modes"",""Multilingual support"",""Community access""]},{""name"":""Premium Plan"",""price"":14.99,""period"":""monthly"",""features"":[""Unlimited messages"",""Advanced character creation"",""NSFW content access"",""Premium personality options"",""Priority response times"",""Exclusive community features"",""Advanced memory system""]},{""name"":""Annual Plan"",""price"":9.99,""period"":""monthly"",""features"":[""All Premium features"",""Significant cost savings"",""Priority customer support"",""Early access to new features"",""Extended conversation history"",""Exclusive annual member benefits""]}]","active"
"Muah.AI","muah-ai",3.2,"https://muah.ai","/images/logos/muah-ai.png",nsfw,Adult,false,"[{""name"":""Basic Plan"",""price"":9.99,""period"":""monthly"",""features"":[""1 AI companion"",""100 messages per day"",""Basic photo sharing"",""Limited voice calls"",""Standard customization"",""Encrypted conversations""]},{""name"":""Premium Plan"",""price"":29.99,""period"":""monthly"",""features"":[""Unlimited AI companions"",""Unlimited messages"",""Full photo sharing capabilities"",""Unlimited voice calls"",""Advanced roleplay tools"",""Custom character creation"",""Priority support"",""Beta feature access""]},{""name"":""VIP Plan"",""price"":99.99,""period"":""monthly"",""features"":[""Everything in Premium"",""VIP companion access"",""Phone call capabilities"",""Advanced AI models"",""Exclusive content"",""Personal account manager"",""Custom development requests"",""Priority feature development""]}]","active"
"Narrin.AI","narrin-ai",4.6,"https://narrin.ai","/images/logos/narrin-ai-3.png",wellness,Featured;Popular;Leader,true,"[{""name"":""3-Day Free Trial"",""price"":0,""period"":""free"",""features"":[""Unlimited AI companions"",""Unlimited messages"",""15 voice chats per month"",""15 voice notes per month"",""Extensive Companion Memory"",""Extensive Companion Customization""]},{""name"":""Engage Plan"",""price"":4.99,""period"":""monthly"",""features"":[""Unlimited AI companions"",""Unlimited messages"",""15 voice chats per month"",""15 voice notes per month"",""Extensive Companion Memory"",""Extensive Companion Customization""]},{""name"":""Immerse Plan"",""price"":11.99,""period"":""monthly"",""features"":[""Unlimited AI companions"",""Unlimited chat messages"",""Unlimited voice chats"",""Unlimited voice notes"",""Extensive Character Memory"",""Extensive Companion Customization"",""Early Access to new AI models"",""Priority Support""]}]","active"
"Nectar.AI","nectar-ai",4,"https://nectar.ai","/images/logos/nectar-ai.png",roleplaying;image-gen,,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""Create basic AI companions"",""Limited daily messages"",""Standard character customization"",""Basic image generation credits"",""Community access"",""Standard AI models""]},{""name"":""Credit Packages"",""price"":9.99,""period"":""monthly"",""features"":[""Advanced character creation"",""Premium AI models"",""Enhanced image generation"",""Unlimited messaging with credits"",""Priority processing"",""Advanced customization tools"",""Export capabilities"",""Premium support""]},{""name"":""VIP Subscription"",""price"":29.99,""period"":""monthly"",""features"":[""Everything included"",""Monthly credit allowance"",""VIP AI models"",""Unlimited image generation"",""Advanced roleplay tools"",""Custom model training"",""Priority support"",""Beta feature access""]}]","active"
"Nomi.AI","nomi-ai",3.9,"https://nomi.ai","/images/logos/nomi-ai.webp",wellness,,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""1 Nomi companion"",""Limited daily messages"",""Basic customization"",""Text conversations only"",""Standard memory""]},{""name"":""Premium"",""price"":9.99,""period"":""monthly"",""features"":[""Unlimited Nomi companions"",""Unlimited messages"",""Voice messages & calls"",""Advanced personality customization"",""Enhanced memory system"",""Priority support"",""Early access to new features""]},{""name"":""Family Plan"",""price"":19.99,""period"":""monthly"",""features"":[""4 Premium accounts"",""All Premium features"",""Family dashboard"",""Parental controls"",""Shared settings management"",""Priority family support""]}]","active"
"OurDream AI","ourdream-ai",4.3,"https://t.mbsrv2.com/388589/7710?popUnder=true&source=companionguide&aff_sub5=SF_006OG000004lmDN","/images/logos/ourdream-ai.png",video;image-gen;roleplaying,,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""Character creation tools"",""Limited chat interactions"",""Basic image generation"",""Community features"",""Character browsing""]},{""name"":""Premium Plan"",""price"":19.99,""period"":""monthly"",""features"":[""Unlimited character creation"",""Unlimited chat interactions"",""Advanced image generation"",""Video creation features"",""Premium character models"",""Priority generation queue"",""Community rewards system""]},{""name"":""Pro Plan"",""price"":39.99,""period"":""monthly"",""features"":[""Everything in Premium Plan"",""Advanced character customization"",""High-definition anime models"",""Priority customer support"",""Exclusive character assets"",""Advanced video features"",""Beta feature access"",""Enhanced community privileges""]}]","active"
"Promptchan AI","promptchan-ai",3.8,"https://promptchan.com","/images/logos/promptchan-ai.svg",nsfw;video;image-gen,Adult,false,"[{""name"":""Free Daily"",""price"":0,""period"":""free"",""features"":[""Daily generations included"",""Basic gem allocation"",""Community gallery access"",""Try platform features""]},{""name"":""Plus Plan"",""price"":4.49,""period"":""monthly"",""features"":[""100 Gems monthly"",""Priority queue access"",""Basic generation features"",""Save-to-profile option""]},{""name"":""Pro Plan"",""price"":10.19,""period"":""monthly"",""features"":[""800 Gems monthly"",""Unlimited casual generations"",""Priority queue access"",""All advanced features"",""Image upscaling"",""AI character creation"",""Video generation""]}]","active"
"Replika","replika",4.3,"https://replika.com","/images/logos/replika.png",wellness,,false,"[{""name"":""Free"",""price"":0,""period"":""free"",""features"":[""Text conversations"",""Basic 3D avatar"",""Limited customization"",""Daily conversation limits"",""Basic activities"",""Core emotional support features""]},{""name"":""Replika Pro"",""price"":19.99,""period"":""monthly"",""features"":[""Unlimited conversations"",""Voice calls with AI companion"",""Full avatar customization"",""Relationship status options"",""Advanced activities & games"",""Priority support"",""AR camera features"",""Exclusive outfits & items""]},{""name"":""Annual Plan"",""price"":69.99,""period"":""monthly"",""features"":[""All Replika Pro features"",""70% discount vs monthly"",""Only $5.83/month"",""Full year commitment"",""Same premium experience"",""Maximum savings""]}]","active"
"Sakura AI","sakura-ai",4,"https://sakura.fm","/images/logos/sakura-ai.png",roleplaying,,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""All anime characters available"",""Unlimited text conversations"",""Voice chat capabilities"",""Video interactions"",""No content restrictions"",""Character animations"",""Kawaii visual effects"",""No ads or interruptions""]},{""name"":""Premium Features"",""price"":0,""period"":""free"",""features"":[""Custom character creation"",""Advanced voice options"",""Exclusive character skins"",""Priority server access"",""Special animations"",""Bonus content"",""Early access features"",""VIP support""]}]","active"
"Secrets AI","secrets-ai",4.8,"https://www.secrets.ai/browse?fpr=companionguide","/images/logos/secrets-ai-review-companionguide.png",ai-girlfriend;video;image-gen;nsfw,Featured;Top Rated;Popular;Adult;Leader,true,"[{""name"":""Basic Plan"",""price"":0,""period"":""free"",""features"":[""20 Responses / Day"",""200 💎 Moments"",""Basic Memory"",""❌ Custom Video + Image Generation"",""❌ Premium Models"",""❌ Time Machine"",""❌ Access to Exclusive Bundles"",""❌ Early Access to Models and Features""]},{""name"":""Lite Plan"",""price"":5.99,""period"":""monthly"",""features"":[""100 Responses / Day"",""Video + Image Generation"",""1,000 Monthly 💎"",""Access to Exclusive Bundles"",""Time Machine"",""❌ Premium Models"",""❌ Bonus Moments"",""❌ Early Access to Models and Features""]},{""name"":""Plus Plan"",""price"":9.99,""period"":""monthly"",""features"":[""Unlimited Messaging"",""Video + Image Generation"",""3,000 Monthly 💎"",""5% Bonus Moments"",""Premium Models + Improved Memory"",""Limited Time Machine"",""Access to Exclusive Bundles"",""❌ Early Access to Models and Features""]},{""name"":""Premium Plan"",""price"":19.99,""period"":""monthly"",""features"":[""Unlimited Messaging"",""Video + Image Generation"",""8,000 Monthly 💎"",""10% Bonus Moments"",""Premium Models + Enhanced Memory"",""Unlimited Time Machine"",""Access to Exclusive Bundles"",""Early Access to Models and Features""]}]","active"
"Selira.ai","selira-ai",3.8,"https://selira.ai","/images/logos/selira-ai.png",nsfw,Adult,false,"[{""name"":""Free Trial"",""price"":0,""period"":""free"",""features"":[""Unlimited companions"",""5 chat messages per day"",""Long term memory chat"",""No image generation""]},{""name"":""Engage Plan"",""price"":4.99,""period"":""monthly"",""features"":[""Unlimited companions"",""Unlimited chat messages"",""Long term memory chat"",""50 images per month""]},{""name"":""Immerse Plan"",""price"":11.99,""period"":""monthly"",""features"":[""Unlimited companions"",""Unlimited chat messages"",""Long term memory chat"",""250 images per month"",""Access to special companions""]},{""name"":""50 Messages"",""price"":2.99,""period"":""monthly"",""features"":[""50 chat messages"",""Access to all companions"",""Basic memory"",""30 days to use""]},{""name"":""200 Messages"",""price"":9.99,""period"":""monthly"",""features"":[""200 chat messages"",""Access to all companions"",""5 voice chats"",""Enhanced memory"",""60 days to use""]},{""name"":""500 Messages"",""price"":19.99,""period"":""monthly"",""features"":[""500 chat messages"",""Access to all companions"",""15 voice chats"",""Premium memory system"",""90 days to use"",""Priority support""]}]","active"
"Simone","simone",4.6,"https://simone.app","/images/logos/simone.png",whatsapp,Featured;Popular;Leader,true,"[{""name"":""Free"",""price"":0,""period"":""free"",""features"":[""Text messages (limited)"",""Discover AI features"",""Chat on WhatsApp"",""Community support"",""Access to all features""]},{""name"":""Essential"",""price"":18,""period"":""monthly"",""features"":[""UNLIMITED text messages"",""Voice synthesis"",""Image generation"",""All AI features"",""Standard support""]},{""name"":""Plus"",""price"":39,""period"":""monthly"",""features"":[""Everything in Essential, plus:"",""Extended usage"",""Longer conversation context"",""Priority support"",""Early access to new features""]},{""name"":""Infinity"",""price"":99,""period"":""monthly"",""features"":[""Everything in Plus, plus:"",""Maximum usage"",""Unlimited conversation context"",""VIP support"",""Absolute priority access""]}]","active"
"SoulGen AI","soulgen-ai",3.9,"https://www.soulgen.net/ai-chat","/images/logos/soulgen-ai.svg",image-gen,,false,"[{""name"":""Free Trial"",""price"":0,""period"":""free"",""features"":[""1 credit per day"",""Watermarked images"",""Basic generation features"",""SoulChat limited access""]},{""name"":""Pro Monthly"",""price"":12.99,""period"":""monthly"",""features"":[""100 credits per month"",""Remove blur and watermarks"",""Priority generation queue"",""Advanced editing tools"",""SoulChat unlimited messages"",""Multi-creation support""]},{""name"":""Pro Annual"",""price"":7.58,""period"":""monthly"",""features"":[""All Pro features included"",""Significant annual savings"",""100 credits monthly"",""Priority customer support""]}]","active"
"Soulkyn AI","soulkyn-ai",4.7,"https://soulkyn.com/?_go=companionguide","/images/screenshots/soulkyn-ai-review.png",ai-girlfriend;nsfw;image-gen,Featured;Top Rated;Popular;Adult;Leader,true,"[{""name"":""Just Chatting"",""price"":11.99,""period"":""monthly"",""features"":[""✅ All galleries uncensored"",""✅ 💬 5000 Chat Messages"",""✅ 👤 Unlimited Characters"",""✅ 🧠 Unlimited Memories"",""✅ ⭐ 70B Uncensored Model"",""✅ 🖼️ 5 Image Quota (up to 30 images*)"",""✅ 🎤 5 Voice Messages"",""✅ 💬 Premium Badge""]},{""name"":""Premium"",""price"":24.99,""period"":""monthly"",""features"":[""✅ All galleries uncensored"",""✅ 💬 Unlimited Messages"",""✅ 👤 Unlimited Characters"",""✅ 🖼️ 300 Image Quota (up to 1800 images*)"",""✅ 🎤 300 Voice Messages"",""✅ 🧠 Unlimited Memories"",""✅ ⭐ 70B Uncensored Model"",""✅ ✨ Premium Badge""]},{""name"":""Deluxe"",""price"":49.99,""period"":""monthly"",""features"":[""✅ All galleries uncensored"",""✅ 💬 Unlimited Messages"",""✅ 👤 Unlimited Characters"",""✅ 🖼️ Unlimited Images Generations"",""✅ ♾️ Unlimited In-chat Images"",""✅ 🎤 Unlimited Voice Messages"",""✅ 🧠 Unlimited Memories"",""✅ ⭐ 70B Uncensored Model"",""✅ 🔗 Link public personas to chat/scenario up to 4"",""✅ 👥 Group chat with public personas up to 3"",""✅ ❤️ Premium Deluxe Badge""]}]","active"
"SpicyChat","spicychat-ai",4,"https://spicychat.ai?ref=njq1ogy","/images/logos/spicychat-ai.png",nsfw;roleplaying,Adult,false,"[{""name"":""Free"",""price"":0,""period"":""free"",""features"":[""Limited daily messages"",""Access to public characters"",""Basic chat features"",""Community character discovery"",""Standard response time"",""Basic customization options""]},{""name"":""Premium"",""price"":9.99,""period"":""monthly"",""features"":[""Unlimited messages"",""Access to premium characters"",""Private character creation"",""Advanced customization"",""Priority response time"",""Enhanced roleplay features"",""Ad-free experience"",""Exclusive content access""]},{""name"":""Annual Plan"",""price"":79.99,""period"":""monthly"",""features"":[""All Premium features"",""33% discount vs monthly"",""Only $6.67/month"",""Full year commitment"",""Maximum savings"",""Same premium experience""]}]","active"
"Stories AI","stories-ai",4,"https://stories.thetiny.ai","/images/screenshots/stories-ai-review-companionguide.png",roleplaying,,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""Daily free chat messages"",""Access to all features"",""Multiple personas"",""Group chat support"",""Character import tool"",""Lorebooks and scenarios"",""Public/Private/Unlisted bots""]},{""name"":""Pay As You Go"",""price"":0,""period"":""free"",""features"":[""Transparent pricing per message"",""No monthly commitment"",""Top up as needed"",""Multiple fine-tuned models"",""Priority processing"",""Extended context memory"",""Community-driven features"",""No hidden fees""]},{""name"":""Why Pay As You Go?"",""price"":0,""period"":""free"",""features"":[""No VC funding pressure"",""Direct user support"",""Community-driven roadmap"",""Long-term sustainability"",""No data monetization"",""Transparent business model"",""UK-based and compliant"",""Here to stay promise""]}]","active"
"Swipey AI","swipey-ai",4.2,"https://t.mbsrv2.com/388589/10219/0?source=companionguide&aff_sub5=SF_006OG000004lmDN","/images/logos/swipey.png",ai-girlfriend;roleplaying;nsfw;video;image-gen,Adult,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""Limited chat interactions"",""Basic AI character access"",""Standard conversation features"",""Limited image generation"",""Community features""]},{""name"":""Premium Plan"",""price"":19.99,""period"":""monthly"",""features"":[""Unlimited romantic conversations"",""Premium AI character personalities"",""Advanced voice interactions"",""Unlimited NSFW image generation"",""Priority conversation processing"",""Advanced character customization"",""Premium support""]},{""name"":""Elite Plan"",""price"":39.99,""period"":""monthly"",""features"":[""Everything in Premium Plan"",""VIP AI character access"",""Advanced voice synthesis"",""High-resolution image generation"",""Custom character creation"",""Beta feature access"",""Priority customer support"",""Exclusive content library""]}]","active"
"ThotChat.ai","thotchat-ai",4.2,"https://t.mbsrv2.com/388589/7797?popUnder=true&source=companionguide&aff_sub5=SF_006OG000004lmDN","/images/logos/thotchat.webp",roleplaying;nsfw,Adult,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""Limited daily messages"",""Basic character selection"",""Standard conversation features"",""Community access""]},{""name"":""Premium"",""price"":9.99,""period"":""monthly"",""features"":[""Unlimited messaging"",""All character options"",""Advanced conversation features"",""Priority support"",""No daily limits"",""Premium character interactions""]},{""name"":""VIP"",""price"":19.99,""period"":""monthly"",""features"":[""Everything in Premium"",""Exclusive character access"",""Advanced customization"",""VIP support priority"",""Early feature access""]}]","active"
